_id,DATE,TOTAL COVID19 PATIENTS,CONFIRMED COVID19 PATIENTS,COVID19 PUI PATIENTS
1,2020-04-08T00:00:00,1749,898,851
2,2020-04-09T00:00:00,1657,877,780
3,2020-04-10T00:00:00,1687,953,734
4,2020-04-11T00:00:00,1680,973,707
5,2020-04-12T00:00:00,1665,970,695
6,2020-04-13T00:00:00,1799,996,803
7,2020-04-14T00:00:00,1698,1012,686
8,2020-04-15T00:00:00,1623,991,632
9,2020-04-16T00:00:00,1555,974,581
10,2020-04-17T00:00:00,1535,945,590
11,2020-04-18T00:00:00,1499,899,600
12,2020-04-19T00:00:00,1544,923,621
13,2020-04-20T00:00:00,1611,931,680
14,2020-04-21T00:00:00,1608,912,696
15,2020-04-22T00:00:00,1504,914,590
16,2020-04-23T00:00:00,1515,898,617
17,2020-04-24T00:00:00,1440,884,556
18,2020-04-25T00:00:00,1499,890,609
19,2020-04-26T00:00:00,1492,925,567
20,2020-04-27T00:00:00,1494,909,585
21,2020-04-28T00:00:00,1462,915,547
22,2020-04-29T00:00:00,1483,923,560
23,2020-04-30T00:00:00,1458,859,599
24,2020-05-01T00:00:00,1392,807,585
25,2020-05-02T00:00:00,1471,849,622
26,2020-05-03T00:00:00,1482,804,678
27,2020-05-04T00:00:00,1579,783,796
28,2020-05-05T00:00:00,1490,788,702
29,2020-05-06T00:00:00,1418,780,638
30,2020-05-07T00:00:00,1379,764,615
31,2020-05-08T00:00:00,1361,763,598
32,2020-05-09T00:00:00,1328,726,602
33,2020-05-10T00:00:00,1346,738,608
34,2020-05-11T00:00:00,1283,682,601
35,2020-05-12T00:00:00,1336,697,639
36,2020-05-13T00:00:00,1381,667,714
37,2020-05-14T00:00:00,1294,648,646
38,2020-05-15T00:00:00,1274,659,615
39,2020-05-16T00:00:00,1246,658,588
40,2020-05-17T00:00:00,1244,652,592
41,2020-05-18T00:00:00,1268,663,605
42,2020-05-19T00:00:00,1288,637,651
43,2020-05-20T00:00:00,1166,627,539
44,2020-05-21T00:00:00,1203,618,585
45,2020-05-22T00:00:00,1138,623,515
46,2020-05-23T00:00:00,1112,604,508
47,2020-05-24T00:00:00,1102,590,512
48,2020-05-25T00:00:00,1088,580,508
49,2020-05-26T00:00:00,1122,621,501
50,2020-05-27T00:00:00,1131,613,518
51,2020-05-28T00:00:00,1149,624,525
52,2020-05-29T00:00:00,1087,610,477
53,2020-05-30T00:00:00,1050,577,473
54,2020-05-31T00:00:00,1041,573,468
55,2020-06-01T00:00:00,961,539,422
56,2020-06-02T00:00:00,990,504,486
57,2020-06-03T00:00:00,979,497,482
58,2020-06-04T00:00:00,924,485,439
59,2020-06-05T00:00:00,926,453,473
60,2020-06-06T00:00:00,913,457,456
61,2020-06-07T00:00:00,902,449,453
62,2020-06-08T00:00:00,853,473,380
63,2020-06-09T00:00:00,894,460,434
64,2020-06-10T00:00:00,887,466,421
65,2020-06-11T00:00:00,906,456,450
66,2020-06-12T00:00:00,871,446,425
67,2020-06-13T00:00:00,869,470,399
68,2020-06-14T00:00:00,882,466,416
69,2020-06-15T00:00:00,860,418,442
70,2020-06-16T00:00:00,789,375,414
71,2020-06-17T00:00:00,754,386,368
72,2020-06-18T00:00:00,773,375,398
73,2020-06-19T00:00:00,768,353,415
74,2020-06-20T00:00:00,744,347,397
75,2020-06-21T00:00:00,756,346,410
76,2020-06-22T00:00:00,736,347,389
77,2020-06-23T00:00:00,701,338,363
78,2020-06-24T00:00:00,723,331,392
79,2020-06-25T00:00:00,692,326,366
80,2020-06-26T00:00:00,595,303,292
